ID,Name,Rating,Price,SkillsMoves,WeakFoot,Pace,Shooting,Passing,Dribbling,Defending,Phyiscality,Popularity,BaseStats,InGameStats,Revision,Position,WorkRate,Height,Club,Country,League,NationPic,ClubPic,PlayerPic
106,Michy Batshuayi,87,0,4,5,83,85,75,85,36,80,88kg),297,444,2125,Holiday Season,ST,M\L,"185cm|6'1""",https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/5.png,https://cdn.futbin.com/content/fifa20/img/players/p67313393.png?v=22
107,Ivan Perišic,87,0,4,5,89,84,82,86,65,80,80kg),3621,486,2311,Holiday Season,LM,M\M,"186cm|6'1""",https://cdn.futbin.com/content/fifa20/img/nation/10.png,https://cdn.futbin.com/content/fifa20/img/clubs/21.png,https://cdn.futbin.com/content/fifa20/img/players/p67290322.png?v=22
108,Romelu Lukaku,87,56.5K,3,4,80,86,75,76,37,86,94kg),356,440,2069,SIF,ST,M\M,"190cm|6'3""",https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/44.png,https://cdn.futbin.com/content/fifa20/img/players/p117633017.png?v=22
109,Roberto Firmino,87,126K,5,4,79,84,81,89,62,80,76kg),1442,475,2263,Hero,CF,H\H,"181cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/9.png,https://cdn.futbin.com/content/fifa20/img/players/p100865238.png?v=22
110,Josip Ilicic,87,82K,4,4,75,88,87,88,46,71,79kg),130,455,2147,SIF,ST,M\M,"190cm|6'3""",https://cdn.futbin.com/content/fifa20/img/nation/44.png,https://cdn.futbin.com/content/fifa20/img/clubs/39.png,https://cdn.futbin.com/content/fifa20/img/players/200647.png?v=22
111,Raphaël Varane,87,452K,2,3,85,49,65,67,87,83,81kg),1558,436,1987,SIF,CB,M\H,"191cm|6'3""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/243.png,https://cdn.futbin.com/content/fifa20/img/players/p100864831.png?v=22
112,Alejandro Gómez,87,64K,4,4,91,82,85,88,41,58,68kg),672,445,2144,SIF,CAM,H\M,"165cm|5'5""",https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/39.png,https://cdn.futbin.com/content/fifa20/img/players/p117583588.png?v=22
113,Felipe Anderson,87,0,4,4,92,84,84,91,58,70,70kg),2811,479,2230,Objectives,LM,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/19.png,https://cdn.futbin.com/content/fifa20/img/players/p50533643.png?v=22
114,Houssem Aouar,87,0,4,3,86,82,88,91,77,78,70kg),5728,502,2378,Objectives,CM,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/66.png,https://cdn.futbin.com/content/fifa20/img/players/p84120986.png?v=22
115,Bruno Fernandes,87,53.5K,4,4,82,87,89,87,67,77,69kg),1030,489,2366,IF,CAM,H\H,"179cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/237.png,https://cdn.futbin.com/content/fifa20/img/players/p67321062.png?v=22
116,Nélson Semedo,87,435K,4,3,95,62,80,86,84,81,67kg),2069,488,2246,Headliners,RB,M\H,"177cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p100891224.png?v=22
117,Alassane Pléa,87,0,4,3,84,89,85,85,46,81,79kg),1712,470,2262,Headliners Obj,ST,H\M,"181cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/23.png,https://cdn.futbin.com/content/fifa20/img/players/p84092547.png?v=22
118,Canales,87,58.5K,4,3,81,84,88,84,54,69,65kg),190,460,2149,SIF,CM,H\M,"176cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/45.png,https://cdn.futbin.com/content/fifa20/img/clubs/449.png,https://cdn.futbin.com/content/fifa20/img/players/p84076366.png?v=22
119,Erling Håland,87,173K,3,3,90,89,79,85,47,88,87kg),6336,478,2258,TIF,ST,H\M,"194cm|6'4""",https://cdn.futbin.com/content/fifa20/img/nation/36.png,https://cdn.futbin.com/content/fifa20/img/clubs/22.png,https://cdn.futbin.com/content/fifa20/img/players/p168011245.png?v=22
120,Thomas Delaney,87,201K,3,4,82,80,81,82,88,87,79kg),1203,500,2401,Headliners,CDM,H\H,"182cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/13.png,https://cdn.futbin.com/content/fifa20/img/clubs/22.png,https://cdn.futbin.com/content/fifa20/img/players/p100856579.png?v=22
121,Nicolás Tagliafico,87,67K,3,2,86,65,78,82,86,86,65kg),737,483,2263,Headliners,LB,H\H,"172cm|5'8""",https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/245.png,https://cdn.futbin.com/content/fifa20/img/players/p134428984.png?v=22
122,James Maddison,87,140K,4,4,83,86,91,87,46,65,73kg),1041,458,2217,Headliners,CM,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/14.png,https://cdn.futbin.com/content/fifa20/img/clubs/95.png,https://cdn.futbin.com/content/fifa20/img/players/p134438425.png?v=22
123,Mathieu Valbuena,87,47.35K,3,3,89,83,91,92,44,68,63kg),451,467,2281,Flashback SBC,CAM,H\M,"165cm|5'5""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/280.png,https://cdn.futbin.com/content/fifa20/img/players/p67286190.png?v=22
124,Gianluigi Donnarumma,87,108K,1,3,92,84,77,92,51,84,90kg),406,480,-,SIF,GK,M\M,"196cm|6'5""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/47.png,https://cdn.futbin.com/content/fifa20/img/players/p84116701.png?v=22
125,Luka Jovic,87,186.05K,3,5,85,89,74,92,32,80,85kg),2517,452,2152,Player Moments Obj,ST,M\M,"182cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/51.png,https://cdn.futbin.com/content/fifa20/img/clubs/243.png,https://cdn.futbin.com/content/fifa20/img/players/p84118512.png?v=22
126,Moise Kean,87,76.1K,3,3,88,86,75,87,35,79,79kg),1106,450,2129,Future Stars SBC,ST,M\M,"182cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/7.png,https://cdn.futbin.com/content/fifa20/img/players/p50568258.png?v=22
127,Moussa Dembélé,87,100K,4,3,90,86,71,85,35,88,74kg),1535,455,2132,Future Stars,ST,H\M,"183cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/66.png,https://cdn.futbin.com/content/fifa20/img/players/p67320455.png?v=22
128,Boubacar Kamara,87,164K,3,3,81,43,80,83,87,85,68kg),1304,459,2160,Future Stars,CB,M\M,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/219.png,https://cdn.futbin.com/content/fifa20/img/players/p84123067.png?v=22
129,Martin Ødegaard,87,0,5,3,88,87,93,95,50,65,68kg),3970,478,2294,FutureStars,CAM,M\M,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/36.png,https://cdn.futbin.com/content/fifa20/img/clubs/457.png,https://cdn.futbin.com/content/fifa20/img/players/p134440393.png?v=22
130,Matthijs de Ligt,87,58.5K,2,4,70,63,68,71,87,86,89kg),215,445,2058,SIF,CB,M\H,"189cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/114153.png,https://cdn.futbin.com/content/fifa20/img/players/p151230187.png?v=22
131,Alex Telles,87,88K,3,2,88,76,88,86,83,79,71kg),721,500,2398,SIF,LB,H\H,"181cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/236.png,https://cdn.futbin.com/content/fifa20/img/players/p100875758.png?v=22
132,Jadon Sancho,87,69K,5,4,90,78,82,93,38,63,76kg),1375,444,2055,SIF,CAM,M\L,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/14.png,https://cdn.futbin.com/content/fifa20/img/clubs/22.png,https://cdn.futbin.com/content/fifa20/img/players/p151227993.png?v=22
133,Fikayo Tomori,87,515K,2,3,88,45,70,82,85,85,75kg),1543,455,2047,Future Stars,CB,M\M,"185cm|6'1""",https://cdn.futbin.com/content/fifa20/img/nation/14.png,https://cdn.futbin.com/content/fifa20/img/clubs/5.png,https://cdn.futbin.com/content/fifa20/img/players/p50564404.png?v=22
134,Luiz Felipe,87,221K,3,3,86,37,71,80,87,85,80kg),958,446,2013,Future Stars,CB,M\H,"187cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/46.png,https://cdn.futbin.com/content/fifa20/img/players/p50568003.png?v=22
135,Renan Augusto Lodi dos Santos,87,290K,4,3,92,76,86,88,84,83,68kg),1490,509,2405,Future Stars,LB,H\M,"173cm|5'8""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/240.png,https://cdn.futbin.com/content/fifa20/img/players/p67360437.png?v=22
136,Jonathan Ikoné,87,242K,4,4,94,83,86,92,40,70,73kg),3656,465,2205,Future Stars,CAM,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/65.png,https://cdn.futbin.com/content/fifa20/img/players/p67343476.png?v=22
137,Dele Alli,87,76.5K,4,3,77,85,83,86,73,82,80kg),6,486,2327,MOTM,CAM,H\H,"188cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/14.png,https://cdn.futbin.com/content/fifa20/img/clubs/18.png,https://cdn.futbin.com/content/fifa20/img/players/211117.png?v=22
138,Stefan de Vrij,87,59.5K,2,4,70,44,66,72,90,78,78kg),195,420,1931,SIF,CB,M\H,"189cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/44.png,https://cdn.futbin.com/content/fifa20/img/players/p100861472.png?v=22
139,Frenkie de Jong,87,67K,4,3,81,68,88,90,78,79,74kg),944,484,2288,SIF,CM,M\H,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/34.png,https://cdn.futbin.com/content/fifa20/img/clubs/241.png,https://cdn.futbin.com/content/fifa20/img/players/p151223646.png?v=22
140,Wissam Ben Yedder,87,455K,4,5,88,88,83,89,44,67,68kg),1254,459,2239,TIF,ST,H\H,"170cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/69.png,https://cdn.futbin.com/content/fifa20/img/players/p167971611.png?v=22
141,Alphonse Areola,87,85.5K,1,3,89,89,83,89,58,84,94kg),1214,492,-,Winter Refresh,GK,M\M,"195cm|6'5""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/243.png,https://cdn.futbin.com/content/fifa20/img/players/p117633617.png?v=22
142,Simone Verdi,87,217.65K,4,5,91,86,85,88,52,61,61kg),412,463,2247,WR - League SBC,LM,H\M,"171cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/27.png,https://cdn.futbin.com/content/fifa20/img/clubs/54.png,https://cdn.futbin.com/content/fifa20/img/players/p67305753.png?v=22
143,Matheus Cunha,87,235K,4,4,89,89,80,92,38,80,75kg),1439,468,2217,Winter Refresh,ST,M\M,"184cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/166.png,https://cdn.futbin.com/content/fifa20/img/players/p84126323.png?v=22
144,Xherdan Shaqiri,87,197.25K,5,4,92,84,87,91,52,78,72kg),298,484,2292,Winter Refresh,RW,M\M,"169cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/47.png,https://cdn.futbin.com/content/fifa20/img/clubs/9.png,https://cdn.futbin.com/content/fifa20/img/players/p84079428.png?v=22
145,Gerard Moreno,87,68K,3,4,83,86,75,85,51,75,77kg),51,455,2167,TIF,RM,H\M,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/45.png,https://cdn.futbin.com/content/fifa20/img/clubs/483.png,https://cdn.futbin.com/content/fifa20/img/players/p134425821.png?v=22
146,Leandro Trossard,87,0,4,4,91,87,86,90,38,74,67kg),687,466,2254,Objective Special,LW,H\M,"172cm|5'8""",https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/1808.png,https://cdn.futbin.com/content/fifa20/img/players/p67316285.png?v=22
147,Wylan Cyprien,87,223.8K,4,3,84,82,85,86,85,86,75kg),2728,508,2418,Winter Refresh,CM,M\M,"180cm|5'11""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/72.png,https://cdn.futbin.com/content/fifa20/img/players/p50544534.png?v=22
148,Idrissa Gueye,87,45.75K,3,3,78,61,74,81,89,82,66kg),288,465,2193,ShapeShifters,CB,M\H,"174cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/136.png,https://cdn.futbin.com/content/fifa20/img/clubs/73.png,https://cdn.futbin.com/content/fifa20/img/players/p84079554.png?v=22
149,Lucas,87,346K,4,4,96,86,82,93,44,73,70kg),1628,474,2278,ShapeShifters,RM,H\M,"174cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/18.png,https://cdn.futbin.com/content/fifa20/img/players/p67309813.png?v=22
150,Geoffrey Kondogbia,87,147K,4,2,78,78,81,82,85,93,80kg),1419,497,2312,ShapeShifters,CB,M\H,"188cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/105.png,https://cdn.futbin.com/content/fifa20/img/clubs/461.png,https://cdn.futbin.com/content/fifa20/img/players/p67310319.png?v=22
151,Marcos Acuña,87,0,4,3,81,83,89,89,84,90,69kg),2918,516,2482,ShapeShifters Obj,CM,H\H,"172cm|5'8""",https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/237.png,https://cdn.futbin.com/content/fifa20/img/players/p100887630.png?v=22
152,Aleksandar Kolarov,87,77K,3,3,78,80,87,84,88,84,81kg),628,501,2444,TIF,LB,H\M,"187cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/51.png,https://cdn.futbin.com/content/fifa20/img/clubs/52.png,https://cdn.futbin.com/content/fifa20/img/players/p117625615.png?v=22
153,Denis Zakaria,87,233K,3,3,88,69,79,83,86,90,80kg),2678,495,2210,ShapeShifters SBC,CB,L\H,"191cm|6'3""",https://cdn.futbin.com/content/fifa20/img/nation/47.png,https://cdn.futbin.com/content/fifa20/img/clubs/23.png,https://cdn.futbin.com/content/fifa20/img/players/p67338125.png?v=22
154,Marc Bartra,87,0,3,3,85,89,77,84,82,86,73kg),366,503,2379,ShapeShifters Obj,ST,H\M,"184cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/45.png,https://cdn.futbin.com/content/fifa20/img/clubs/449.png,https://cdn.futbin.com/content/fifa20/img/players/p50529789.png?v=22
155,Serge Gnabry,87,115K,4,4,92,86,80,88,47,72,75kg),534,465,2177,CL MOTM,LW,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/21.png,https://cdn.futbin.com/content/fifa20/img/clubs/21.png,https://cdn.futbin.com/content/fifa20/img/players/206113.png?v=22
156,Kai Havertz,87,47.25K,4,4,87,83,84,86,47,68,83kg),339,455,2148,Europa MOTM,RF,M\M,"188cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/21.png,https://cdn.futbin.com/content/fifa20/img/clubs/32.png,https://cdn.futbin.com/content/fifa20/img/players/235790.png?v=22
157,Edin Višca,87,46K,4,4,92,84,84,88,50,67,63kg),227,465,2204,Europa MOTM,RW,H\M,"172cm|5'8""",https://cdn.futbin.com/content/fifa20/img/nation/8.png,https://cdn.futbin.com/content/fifa20/img/clubs/101014.png,https://cdn.futbin.com/content/fifa20/img/players/205678.png?v=22
158,Carvajal,87,125K,3,3,84,50,80,83,85,84,73kg),489,466,2183,SIF,RB,H\H,"173cm|5'8""",https://cdn.futbin.com/content/fifa20/img/nation/45.png,https://cdn.futbin.com/content/fifa20/img/clubs/243.png,https://cdn.futbin.com/content/fifa20/img/players/p117645475.png?v=22
159,Saúl,87,60K,3,4,74,82,82,83,80,80,77kg),107,481,2292,SIF,CM,H\H,"184cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/45.png,https://cdn.futbin.com/content/fifa20/img/clubs/240.png,https://cdn.futbin.com/content/fifa20/img/players/p117648933.png?v=22
160,Mahmoud Hassan,87,187.55K,4,5,89,86,80,92,42,75,78kg),1122,464,2143,Player Moments SBC,CF,H\M,"179cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/111.png,https://cdn.futbin.com/content/fifa20/img/clubs/2.png,https://cdn.futbin.com/content/fifa20/img/players/p50557726.png?v=22
161,Nicolás De la Cruz,87,40K,3,3,90,83,84,87,65,67,65kg),181,476,2349,Libertadores KO Team,CAM,M\L,"167cm|5'6""",https://cdn.futbin.com/content/fifa20/img/nation/60.png,https://cdn.futbin.com/content/fifa20/img/clubs/114144.png,https://cdn.futbin.com/content/fifa20/img/players/p67349563.png?v=22
162,Eugenio Mena,87,40K,3,3,90,60,83,84,84,86,74kg),289,487,2285,Libertadores KO Team,LB,H\M,"173cm|5'8""",https://cdn.futbin.com/content/fifa20/img/nation/55.png,https://cdn.futbin.com/content/fifa20/img/clubs/101085.png,https://cdn.futbin.com/content/fifa20/img/players/p67318608.png?v=22
163,José Pedro Fuenzalida,87,40K,4,4,96,84,86,89,73,76,67kg),341,504,2408,Libertadores KO Team,RW,H\H,"170cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/55.png,https://cdn.futbin.com/content/fifa20/img/clubs/110975.png,https://cdn.futbin.com/content/fifa20/img/players/196069.png?v=22
164,Freddy Hinestroza,87,39K,4,3,99,85,82,87,51,79,70kg),447,483,2278,Libertadores KO Team,LM,H\L,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/56.png,https://cdn.futbin.com/content/fifa20/img/clubs/101101.png,https://cdn.futbin.com/content/fifa20/img/players/214421.png?v=22
165,Neri Cardozo,87,44K,3,3,85,78,84,84,75,85,66kg),95,491,2340,Libertadores KO Team,CM,H\H,"173cm|5'8""",https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/111710.png,https://cdn.futbin.com/content/fifa20/img/players/p67266081.png?v=22
166,Ignacio Scocco,87,45.5K,4,4,86,87,81,88,46,88,73kg),424,476,2286,Libertadores KO Team,ST,H\M,"177cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/114144.png,https://cdn.futbin.com/content/fifa20/img/players/p67280692.png?v=22
167,Ricardo Pereira,87,179K,3,4,91,70,83,86,86,79,70kg),419,495,2315,MOTM,RB,H\H,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/95.png,https://cdn.futbin.com/content/fifa20/img/players/210243.png?v=22
168,Mauro Zárate,87,78.75K,4,3,87,88,76,93,51,80,77kg),407,475,2252,Flashback SBC,ST,H\L,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/52.png,https://cdn.futbin.com/content/fifa20/img/clubs/114149.png,https://cdn.futbin.com/content/fifa20/img/players/153177.png?v=22
169,Charles Aránguiz,87,44.5K,3,4,70,77,87,85,80,78,70kg),197,477,2328,Europa MOTM,CM,M\M,"171cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/55.png,https://cdn.futbin.com/content/fifa20/img/clubs/32.png,https://cdn.futbin.com/content/fifa20/img/players/199042.png?v=22
170,Héctor Bellerín,87,140.6K,3,3,97,55,80,83,85,80,74kg),2766,480,2210,Player Moments SBC,RB,H\H,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/45.png,https://cdn.futbin.com/content/fifa20/img/clubs/1.png,https://cdn.futbin.com/content/fifa20/img/players/p50535395.png?v=22
171,Shane Long,87,0,4,3,89,87,81,87,46,86,70kg),603,476,2263,Flashback SBC,ST,H\H,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/25.png,https://cdn.futbin.com/content/fifa20/img/clubs/17.png,https://cdn.futbin.com/content/fifa20/img/players/p50500864.png?v=22
172,Kyle Walker,87,400K,2,2,93,68,81,81,84,84,70kg),790,491,2306,TOTW Moments,CB,H\H,"183cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/14.png,https://cdn.futbin.com/content/fifa20/img/clubs/10.png,https://cdn.futbin.com/content/fifa20/img/players/p117628889.png?v=22
173,Luis Muriel,87,149.55K,4,4,90,86,75,90,31,78,79kg),1843,450,2122,Player Moments SBC,ST,H\M,"179cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/56.png,https://cdn.futbin.com/content/fifa20/img/clubs/39.png,https://cdn.futbin.com/content/fifa20/img/players/p67307974.png?v=22
174,Ashley Young,87,111.5K,4,3,91,85,84,89,79,83,65kg),2401,511,2433,Flashback SBC,LM,H\M,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/14.png,https://cdn.futbin.com/content/fifa20/img/clubs/44.png,https://cdn.futbin.com/content/fifa20/img/players/p84038988.png?v=22
175,Nicolas Pépé,87,95.5K,4,3,95,87,83,90,37,72,73kg),599,464,2200,TOTW Moments,RM,H\L,"183cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/108.png,https://cdn.futbin.com/content/fifa20/img/clubs/1.png,https://cdn.futbin.com/content/fifa20/img/players/p151221054.png?v=22
176,Radja Nainggolan,87,178K,3,3,78,85,84,87,87,86,77kg),677,507,2423,TOTW Moments,CAM,H\H,"176cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/7.png,https://cdn.futbin.com/content/fifa20/img/clubs/1842.png,https://cdn.futbin.com/content/fifa20/img/players/p134396246.png?v=22
177,João Cancelo,87,210K,5,4,93,67,84,87,83,80,74kg),1061,494,2326,FUT Birthday,RB,H\M,"182cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/10.png,https://cdn.futbin.com/content/fifa20/img/players/p67319378.png?v=22
178,Guerreiro,87,36K,4,5,85,83,89,91,71,66,71kg),320,485,2324,FUT Birthday,LM,M\M,"170cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/38.png,https://cdn.futbin.com/content/fifa20/img/clubs/22.png,https://cdn.futbin.com/content/fifa20/img/players/p117650401.png?v=22
179,Hirving Lozano,87,93K,5,4,97,84,82,90,46,72,70kg),1553,471,2229,FUT Birthday,RW,H\L,"175cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/83.png,https://cdn.futbin.com/content/fifa20/img/clubs/48.png,https://cdn.futbin.com/content/fifa20/img/players/p100885288.png?v=22
180,Dakonam Djené,87,48K,5,4,78,40,70,70,87,84,72kg),465,429,2027,FUT Birthday,CB,M\H,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/144.png,https://cdn.futbin.com/content/fifa20/img/clubs/1860.png,https://cdn.futbin.com/content/fifa20/img/players/p50549588.png?v=22
181,Thomas Partey,87,60K,3,3,79,80,82,84,86,89,77kg),274,500,2315,TOTW Moments,CM,M\H,"185cm|6'1""",https://cdn.futbin.com/content/fifa20/img/nation/117.png,https://cdn.futbin.com/content/fifa20/img/clubs/240.png,https://cdn.futbin.com/content/fifa20/img/players/p151204933.png?v=22
182,Andrew Robertson,87,153K,3,2,88,64,80,82,84,77,64kg),385,475,2185,TOTW Moments,LB,H\H,"178cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/42.png,https://cdn.futbin.com/content/fifa20/img/clubs/9.png,https://cdn.futbin.com/content/fifa20/img/players/p134433995.png?v=22
183,Duván Zapata,87,58K,3,4,80,87,62,81,43,88,88kg),398,441,2042,TOTW Moments,ST,H\M,"189cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/56.png,https://cdn.futbin.com/content/fifa20/img/clubs/39.png,https://cdn.futbin.com/content/fifa20/img/players/p134433061.png?v=22
184,Wilfred Ndidi,87,64.5K,3,4,77,71,74,79,89,87,74kg),511,477,2284,TOTW Moments,CDM,M\H,"183cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/133.png,https://cdn.futbin.com/content/fifa20/img/clubs/95.png,https://cdn.futbin.com/content/fifa20/img/players/p100890086.png?v=22
185,Sergej Milinkovic-Savic,87,63.5K,4,4,71,82,83,85,80,86,76kg),382,487,2308,TOTW Moments,CM,H\M,"191cm|6'3""",https://cdn.futbin.com/content/fifa20/img/nation/51.png,https://cdn.futbin.com/content/fifa20/img/clubs/46.png,https://cdn.futbin.com/content/fifa20/img/players/p100887144.png?v=22
186,Marquinhos,87,57K,3,3,76,42,74,73,87,79,75kg),329,431,2029,TOTW Moments,CB,M\H,"183cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/54.png,https://cdn.futbin.com/content/fifa20/img/clubs/73.png,https://cdn.futbin.com/content/fifa20/img/players/p100871161.png?v=22
187,Iago Aspas,87,54.5K,3,3,83,87,80,87,37,66,67kg),377,440,2139,TOTW Moments,ST,H\H,"176cm|5'9""",https://cdn.futbin.com/content/fifa20/img/nation/45.png,https://cdn.futbin.com/content/fifa20/img/clubs/450.png,https://cdn.futbin.com/content/fifa20/img/players/p100855925.png?v=22
188,Malang Sarr,87,188.45K,5,4,82,60,81,80,86,91,73kg),1565,480,2269,FUT Birthday SBC,CB,L\H,"182cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/72.png,https://cdn.futbin.com/content/fifa20/img/players/p50567102.png?v=22
189,Thomas Lemar,87,114K,4,5,89,84,87,90,63,74,62kg),714,487,2344,FUT Birthday,LM,M\M,"171cm|5'7""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/240.png,https://cdn.futbin.com/content/fifa20/img/players/p67322429.png?v=22
190,Danny da Costa,87,200K,5,4,91,55,82,87,87,88,85kg),1039,490,2282,FUT Birthday,RWB,H\H,"187cm|6'2""",https://cdn.futbin.com/content/fifa20/img/nation/21.png,https://cdn.futbin.com/content/fifa20/img/clubs/1824.png,https://cdn.futbin.com/content/fifa20/img/players/p50534077.png?v=22
191,Biabiany,87,162.1K,3,3,99,87,80,93,35,77,73kg),3470,471,2210,Flashback SBC,RW,H\L,"177cm|5'10""",https://cdn.futbin.com/content/fifa20/img/nation/18.png,https://cdn.futbin.com/content/fifa20/img/clubs/112410.png,https://cdn.futbin.com/content/fifa20/img/players/p50515960.png?v=22
192,Alexander Esswein,87,0,3,3,94,87,82,91,68,92,85kg),183,514,2412,Flashback SBC,RM,M\M,"182cm|6'0""",https://cdn.futbin.com/content/fifa20/img/nation/21.png,https://cdn.futbin.com/content/fifa20/img/clubs/166.png,https://cdn.futbin.com/content/fifa20/img/players/p50520920.png?v=22
